,Product Name,Rating,Product Sold,Price,Discount,Store name,Num of favourite
33,fashion women's chain bag leisure shoulder bag messenger bag waterproof bag large capacity mobile phone bag internal zipper wallet card bag change bag mouth red bag young high temperament style women's bag in stock | shopee malaysia,4.8,542,29.0,52,baomanyi.my,932
34,jasmin noir wool women's sling bag fashion lock small square shoulder bag | shopee malaysia,4.8,2100,19.74,31,jasminnoir.os,7200
35,wbsb131_agus women handbag tote bag sling bag women bag beg tangan wanita murah beg wanita slingbag beg kecil wanita | shopee malaysia,4.7,252,18.9,69,stynis,749
36,sling bag women beg tangan wanita murah korean style woman handbag women canvas shoulder bags    beg silang perempuan kain beg sandang hand beg top classic waterproof multi pocket nylon zipper ladies crossbody bag free shipping ready stock shop | shopee malaysia,4.9,1700,25.56,37,koreanshow.my,1600
37,"ready stockretro leather handmade bag, handmade bag unique small opening women cross body bag doctor bag best gifts for mothers, wives and girlfriends | shopee malaysia",4.8,192,29.82,29,fashionyou66.my,467
38,dr.cardin classic tote bag women bag bg-266 | shopee malaysia,4.9,122,89.0,55,tomorrowshowtime.os,661
39,polo hill lauren ladies top handle bag phh2730 (black/bronze) | shopee malaysia,5.0,1100,119.97,70,polohill.os,1900
40,n252 ready stock myfooyin woman sling bag handbag shoulder handbag leather beg | shopee malaysia,4.8,159,14.5,52,fooyin88,535
41,ready stock micole sb2621 korean women sling bag crossbody bag shoulder bag women bags casual bag beg | shopee malaysia,4.9,2500,6.54,17,micoleconcept,2000
42,dr cardin ladies  crossbody sling bag bg-5087 | shopee malaysia,4.9,5100,73.0,57,drcardin.os,8500
